Espacio,Municipio,Tipo,Capacidad,Parking,Inicio totalidad,Duración totalidad,Dist_carretera_km,Tiempo_Maps,Dist_centerline_km
Museo Paleontológico de Castilla-La Mancha,Cuenca (Cuenca),Explanada,,Sí,20:31:59,0m 56s,211.4,02h 40min,137.4
Vertiente de Hoya Román,Cuenca (Cuenca),Zona rural,-,Sí,20:31:59,0m 56s,211.4,02h 40min,137.4
Cancha el Frontón,Cuevas de Velasco (Cuenca),Cancha de Fútbol,500,Sí,20:31:59,0m 51s,241.2,03h 25min,136.3
Castillo de Huete,Huete (Cuenca),Castillo,1.000,Sí,20:32:13,0m 32s,293.3,03h 23min,150.0
Palacio de los Condes de Priego,Priego (Cuenca),Plaza,2.000,Sí,20:31:15,1m 19s,267.0,03h 33min,106.6
Plaza de toros Rodena,Talayuelas (Cuenca),Plaza de toros,1.500,Sí,20:32:02,1m 06s,134.6,01h 43min,122.9
Paraje Solana la Virgen,Tragacete (Cuenca),Zona rural,2.500,Sí,20:31:15,1m 24s,227.8,03h 09min,98.3
Plaza de toros de Villalba del Rey,Villalba del Rey (Cuenca),Plaza de toros,800,Sí,20:31:39,1m 01s,308.5,03h 56min,138.5
Recinto Ferial de Azuqueca,Azuqueca de Henares (Guadalajara),Campo de feria,5.000,500,20:31:28,0m 58s,384.1,04h 18min,129.0
Campo de fútbol de Cabanillas,Cabanillas del Campo (Guadalajara),Explanada,60,30,20:31:17,1m 06s,393.6,04h 22min,121.0
Mirador del castillo,Chiloeches (Guadalajara),Mirador,50,20,20:31:24,1m 03s,383.7,04h 33min,131.3
Castillo de Cifuentes,Cifuentes (Guadalajara),Mirador,1.000,Sí,20:30:42,1m 30s,349.8,04h 27min,83.7
Observatorio de Cogolludo,Cogolludo (Guadalajara),Mirador,1.000,300,20:30:34,1m 29s,371.3,04h 55min,83.1
El Calvario de El Casar,El Casar (Guadalajara),Mirador,1.000,250,20:31:15,1m 04s,413.4,04h 41min,118.4
Guadalajara,Guadalajara (Guadalajara),(sin especificar),-,-,20:31:15,1m 08s,397.3,04h 27min,118.2
Acceso al cementerio de Hita,Hita (Guadalajara),Zona rural,2.000,1.000,20:30:48,1m 23s,367.5,04h 45min,94.0
Parque de Ferias de Marchamalo,Marchamalo (Guadalajara),Campo de feria,1.500,300,20:31:12,1m 09s,398.6,04h 28min,116.7
Punto Limpio de Molina de Aragón,Molina de Aragón (Guadalajara),Zona rural,3.000,Sí,20:30:21,1m 40s,236.6,02h 52min,50.1
Piscina municipal de Tamajón,Tamajón (Guadalajara),Espacio natural con piscina,200,50,20:30:31,1m 29s,442.1,05h 17min,90.9
Campo de fútbol de Tórtola de Henares,Tórtola de Henares (Guadalajara),Polideportivo,50,Sí,20:31:05,1m 14s,403.6,04h 32min,121.4
Club Motocross Yunquera,Yunquera de Henares (Guadalajara),Circuito de carreras,-,-,20:31:00,1m 16s,401.9,04h 33min,113.3
Zona esportiva,Les Borges Blanques (Lleida),Campo de fútbol,2.650,1.070,20:29:11,0m 24s,315.9,03h 30min,120.2
Els Magraners,Lleida (Lleida),Explanada,4.300,1.950,20:29:05,0m 27s,341.0,03h 45min,121.2
Gardeny,Lleida (Lleida),Explanada,1.500,600,20:29:05,0m 27s,341.0,03h 46min,120.0
Secà de Sant Pere,Lleida (Lleida),Explanada,1.400,980,20:29:05,0m 27s,341.5,03h 48min,121.0
Plaça de bous de Alcanar,Alcanar (Tarragona),Plaza de toros,-,-,20:30:12,1m 37s,154.2,01h 41min,9.8
Font del mirador d'Altafulla,Altafulla (Tarragona),Explanada,430,180,20:29:23,0m 52s,260.3,02h 49min,104.5
Polígon Industrial l'Oriola,Amposta (Tarragona),Explanada,4.400,3.300,20:29:56,1m 34s,177.1,01h 57min,30.4
Camarles,Camarles (Tarragona),(sin especificar),-,-,20:29:50,1m 31s,178.8,02h 06min,36.2
Cooperativa Agrícola de Cambrils,Cambrils (Tarragona),Explanada,-,-,20:29:27,1m 09s,231.5,02h 31min,84.9
Carrer Joan Miró,Constantí (Tarragona),Explanada,1.600,680,20:29:22,0m 58s,249.6,02h 41min,100.3
Polígon Industrial la Plana,Gandesa (Tarragona),Explanada,2.000,1.800,20:29:32,1m 24s,224.7,02h 42min,59.8
Can Gironès,L'Aldea (Tarragona),Explanada,4.500,2.500,20:29:54,1m 32s,176.3,01h 56min,34.7
Camp de futbol,L'Atmetlla de Mar (Tarragona),Campo de fútbol,1.250,500,20:29:41,1m 25s,199.3,02h 14min,57.2
les Palomeres,Montbrió del Camp (Tarragona),Explanada,2.500,600,20:29:24,1m 07s,233.9,02h 32min,86.8
Fira de Móra la Nova,Móra la Nova (Tarragona),Campo de feria,3.800,1.500,20:29:27,1m 18s,229.6,02h 45min,70.9
Horts del Queri,Reus (Tarragona),Parque,1.750,900,20:29:22,1m 01s,239.3,02h 37min,94.2
Parc de la Festa de Reus,Reus (Tarragona),Explanada,5.000,2.500,20:29:22,1m 01s,241.0,02h 40min,95.2
Carretera de la Galera,Santa Bárbara (Tarragona),Explanada,1.100,520,20:29:57,1m 34s,153.5,01h 42min,14.7
L'Anella Mediterrànea,Tarragona (Tarragona),Parque,-,-,20:29:24,0m 59s,250.9,02h 43min,97.4
