Espacio,Municipio,Tipo,Capacidad,Parking,Inicio_totalidad,Duracion_totalidad,Dist_carretera_km,Tiempo_Maps
Camino de Valbueno,Zamora (Zamora),Espacio natural,-,-,20:30:48,19s,,
Castillo de Zamora,Zamora (Zamora),Castillo,-,-,20:30:48,19s,,
Mirador de La Lobata,Zamora (Zamora),Mirador,-,-,20:30:48,19s,,
Parada del Molino,Zamora (Zamora),Parque,-,-,20:30:48,19s,,
Parque del Castillo,Zamora (Zamora),Parque,-,-,20:30:48,19s,,
Paseo de las Vistillas,Zamora (Zamora),Parque,-,-,20:30:48,19s,,
Cerro afueras de Cañete,Cañete (Cuenca),Zona rural,3.000,Sí,20:31:48,1m 10s,,
Aparcamiento de la Fuensanta,Cuenca (Cuenca),Explanada,-,Sí,20:31:59,56s,,
Museo Paleontológico de Castilla-La Mancha,Cuenca (Cuenca),Explanada,,Sí,20:31:59,56s,,
Vertiente de Hoya Román,Cuenca (Cuenca),Zona rural,-,Sí,20:31:59,56s,,
Cancha el Frontón,Cuevas de Velasco (Cuenca),Cancha de Fútbol,500,Sí,20:31:59,51s,,
Castillo de Huete,Huete (Cuenca),Castillo,1.000,Sí,20:32:13,32s,,
Palacio de los Condes de Priego,Priego (Cuenca),Plaza,2.000,Sí,20:31:15,1m 19s,,
Plaza de toros Rodena,Talayuelas (Cuenca),Plaza de toros,1.500,Sí,20:32:02,1m 06s,,
Paraje Solana la Virgen,Tragacete (Cuenca),Zona rural,2.500,Sí,20:31:15,1m 24s,,
Plaza de toros de Villalba del Rey,Villalba del Rey (Cuenca),Plaza de toros,800,Sí,20:31:39,1m 01s,,
Recinto Ferial de Azuqueca,Azuqueca de Henares (Guadalajara),Campo de feria,5.000,500,20:31:28,58s,,
Campo de fútbol de Cabanillas,Cabanillas del Campo (Guadalajara),Explanada,60,30,20:31:17,1m 06s,,
Mirador del castillo,Chiloeches (Guadalajara),Mirador,50,20,20:31:24,1m 03s,,
Castillo de Cifuentes,Cifuentes (Guadalajara),Mirador,1.000,Sí,20:30:42,1m 30s,,
Observatorio de Cogolludo,Cogolludo (Guadalajara),Mirador,1.000,300,20:30:34,1m 29s,,
El Calvario de El Casar,El Casar (Guadalajara),Mirador,1.000,250,20:31:15,1m 04s,,
Guadalajara,Guadalajara (Guadalajara),(sin especificar),-,-,20:31:15,1m 08s,,
Acceso al cementerio de Hita,Hita (Guadalajara),Zona rural,2.000,1.000,20:30:48,1m 23s,,
Parque de Ferias de Marchamalo,Marchamalo (Guadalajara),Campo de feria,1.500,300,20:31:12,1m 09s,,
Punto Limpio de Molina de Aragón,Molina de Aragón (Guadalajara),Zona rural,3.000,Sí,20:30:21,1m 40s,,
Piscina municipal de Tamajón,Tamajón (Guadalajara),Espacio natural con piscina,200,50,20:30:31,1m 29s,,
Campo de fútbol de Tórtola de Henares,Tórtola de Henares (Guadalajara),Polideportivo,50,Sí,20:31:05,1m 14s,,
Club Motocross Yunquera,Yunquera de Henares (Guadalajara),Circuito de carreras,-,-,20:31:00,1m 16s,,
Zona esportiva,Les Borges Blanques (Lleida),Campo de fútbol,2.650,1.070,20:29:11,24s,,
Els Magraners,Lleida (Lleida),Explanada,4.300,1.950,20:29:05,27s,,
Gardeny,Lleida (Lleida),Explanada,1.500,600,20:29:05,27s,,
Secà de Sant Pere,Lleida (Lleida),Explanada,1.400,980,20:29:05,27s,,
Plaça de bous de Alcanar,Alcanar (Tarragona),Plaza de toros,-,-,20:30:12,1m 37s,,
Font del mirador d'Altafulla,Altafulla (Tarragona),Explanada,430,180,20:29:23,52s,,
Polígon Industrial l'Oriola,Amposta (Tarragona),Explanada,4.400,3.300,20:29:56,1m 34s,,
Camarles,Camarles (Tarragona),(sin especificar),-,-,20:29:50,1m 31s,,
